x	y	pred_rf
685500	288500	NA
686500	288500	NA
687500	288500	NA
688500	288500	NA
689500	288500	NA
690500	288500	NA
691500	288500	NA
692500	288500	NA
693500	288500	NA
694500	288500	NA
695500	288500	NA
696500	288500	NA
701500	288500	NA
702500	288500	NA
675500	287500	NA
676500	287500	NA
677500	287500	NA
678500	287500	NA
679500	287500	NA
680500	287500	NA
681500	287500	NA
682500	287500	NA
683500	287500	NA
684500	287500	NA
685500	287500	NA
686500	287500	NA
687500	287500	NA
688500	287500	NA
689500	287500	NA
690500	287500	NA
691500	287500	NA
692500	287500	NA
693500	287500	NA
694500	287500	NA
695500	287500	NA
700500	287500	NA
701500	287500	NA
702500	287500	NA
703500	287500	NA
675500	286500	NA
676500	286500	NA
677500	286500	NA
678500	286500	NA
679500	286500	NA
680500	286500	NA
681500	286500	NA
682500	286500	NA
683500	286500	NA
684500	286500	NA
685500	286500	NA
686500	286500	NA
687500	286500	NA
688500	286500	NA
689500	286500	NA
690500	286500	NA
691500	286500	NA
692500	286500	NA
693500	286500	NA
694500	286500	NA
695500	286500	NA
696500	286500	NA
697500	286500	NA
699500	286500	NA
700500	286500	NA
701500	286500	NA
702500	286500	NA
703500	286500	NA
704500	286500	NA
673500	285500	NA
674500	285500	NA
675500	285500	NA
676500	285500	NA
677500	285500	NA
678500	285500	NA
679500	285500	NA
680500	285500	NA
681500	285500	NA
682500	285500	NA
683500	285500	NA
684500	285500	NA
685500	285500	NA
686500	285500	NA
687500	285500	NA
688500	285500	NA
689500	285500	NA
690500	285500	NA
691500	285500	NA
692500	285500	NA
693500	285500	NA
694500	285500	NA
695500	285500	NA
696500	285500	NA
697500	285500	NA
699500	285500	NA
700500	285500	NA
701500	285500	NA
702500	285500	NA
703500	285500	NA
704500	285500	NA
705500	285500	NA
672500	284500	NA
673500	284500	NA
674500	284500	NA
675500	284500	NA
676500	284500	NA
677500	284500	NA
678500	284500	NA
679500	284500	NA
680500	284500	NA
681500	284500	NA
682500	284500	NA
683500	284500	NA
684500	284500	NA
685500	284500	NA
686500	284500	NA
687500	284500	NA
688500	284500	NA
689500	284500	NA
690500	284500	NA
691500	284500	NA
692500	284500	NA
693500	284500	NA
694500	284500	NA
695500	284500	NA
696500	284500	NA
697500	284500	NA
699500	284500	NA
700500	284500	NA
701500	284500	NA
702500	284500	NA
703500	284500	NA
704500	284500	NA
705500	284500	NA
706500	284500	NA
707500	284500	NA
672500	283500	NA
673500	283500	NA
674500	283500	NA
675500	283500	NA
676500	283500	NA
677500	283500	NA
678500	283500	NA
679500	283500	NA
680500	283500	NA
681500	283500	NA
682500	283500	NA
683500	283500	NA
684500	283500	NA
